game_date,game_id,team,opponent,home_away,NFL 1,NFL 2,NFL 3,NFL 4,NFL 5,NFL 6,NFL 7,NFL 8,NFL 9,NFL 10,NFL 11,NFL 12,NFL 13,NFL 14,NFL 15,NFL 16,NFL 17,NFL 18,NFL 19,NFL 20,NFL 21,NFL 22,NFL 23,NFL 24,NFL 25,NFL 26,NFL 27,NFL 28,NFL 29,NFL 30,NFL 31,NFL 32,NFL 33,NFL 34,NFL 35,NFL 36,QB_YDS,RB_YDS,WR_YDS,K_FG_PCT
2025-11-16,401772631,MIA,WSH,H,68.06,17.2,56.25,87.5,21.0,-0.7,0.2,0.4,2.0,6.3,204.5,107.2,204.5,38.14,118.1,9.4,,0.9,2.0,,,,1.0,6.3,52.3,0.0,,,95.65,2.3,2.2,60.06,48.84,31.0,22.9,90.0,,,,
2025-11-16,401772631,WSH,MIA,A,63.67,18.3,56.25,73.33,22.3,-0.6,0.5,0.6,2.2,7.2,203.6,135.2,203.6,37.84,126.7,5.5,,0.7,2.2,,,,0.6,7.2,61.2,0.0,,,100.0,2.2,2.2,56.83,48.76,27.8,27.5,90.0,,,,
2025-11-16,401772882,ATL,CAR,H,60.07,19.33,44.44,77.78,18.67,0.556,0.889,0.556,3.222,5.444,223.22,119.33,223.22,33.65,100.78,16.11,,1.111,3.222,,,,1.444,5.444,42.33,0.0,,,94.12,1.889,1.778,60.49,44.3,33.11,26.78,90.0,,,,
2025-11-16,401772882,CAR,ATL,A,62.42,19.8,68.18,82.35,17.7,-0.5,0.7,0.7,1.6,5.2,180.7,133.1,180.7,37.19,84.8,29.3,,0.2,1.6,,,,1.0,5.2,41.4,0.0,,,83.33,1.8,1.5,57.32,47.97,30.6,29.2,90.0,,,,
2025-11-16,401772776,BUF,TB,H,69.89,22.78,50.0,85.71,27.56,0.222,0.667,0.444,2.778,6.778,243.67,153.22,243.67,43.92,101.44,10.0,,1.111,2.778,,,,1.222,6.778,57.56,0.0,,,96.3,3.0,2.889,60.36,44.76,29.89,30.89,90.0,,,,
2025-11-16,401772776,TB,BUF,A,64.1,19.44,46.15,81.82,24.44,0.889,0.889,0.333,2.889,6.222,243.56,99.78,243.56,36.52,94.33,15.0,,0.667,2.889,,,,1.444,6.222,48.56,0.0,,,94.74,2.111,2.0,60.02,43.66,34.67,25.0,90.0,,,,
2025-11-16,401772881,TEN,HOU,H,57.63,15.22,35.71,78.26,14.44,-0.333,0.556,0.778,2.444,6.778,195.56,81.22,195.56,28.45,123.11,20.11,,0.222,2.444,,,,1.111,6.778,52.67,0.0,,,90.91,1.222,1.111,59.11,45.83,32.78,20.33,90.0,,,,
2025-11-16,401772881,HOU,TEN,A,64.49,19.22,66.67,88.46,22.67,0.667,1.111,0.333,2.444,7.444,239.33,111.22,239.33,36.59,70.56,27.44,,0.778,2.444,,,,1.667,7.444,59.56,0.0,,,100.0,1.444,1.444,61.35,49.49,35.67,26.22,90.0,,,,
2025-11-16,401772880,MIN,CHI,H,60.84,17.78,53.85,90.0,22.33,-0.778,0.333,0.556,2.667,8.333,220.22,102.11,220.22,31.82,122.67,13.33,,1.222,2.667,,,,1.0,8.333,65.67,0.0,,,100.0,1.889,1.889,59.37,47.86,31.78,22.22,90.0,,,,
2025-11-16,401772880,CHI,MIN,A,60.87,20.89,42.86,83.33,26.56,1.556,1.444,0.222,2.333,8.222,241.0,147.33,242.78,41.38,111.89,15.89,,0.778,2.333,,,,2.222,8.222,66.78,0.0,,,100.0,2.556,2.556,60.41,48.17,33.22,29.22,90.0,,,,
