game_date,game_id,team,opponent,home_away,NFL 1,NFL 2,NFL 3,NFL 4,NFL 5,NFL 6,NFL 7,NFL 8,NFL 9,NFL 10,NFL 11,NFL 12,NFL 13,NFL 14,NFL 15,NFL 16,NFL 17,NFL 18,NFL 19,NFL 20,NFL 21,NFL 22,NFL 23,NFL 24,NFL 25,NFL 26,NFL 27,NFL 28,NFL 29,NFL 30,NFL 31,NFL 32,NFL 33,NFL 34
2025-11-16,401772631,MIA,WSH,H,112.82,201.46,85.0,201.46,201.46,112.82,201.46,17.36,37.8,109.27,8.55,1.909,0.273,0.818,201.46,112.82,201.46,-0.455,0.273,0.364,1.909,0.0,0.0,0.0,0.0,23.636,30.0,20.455,87.64,68.18,6.091,50.0,20.95,20.95
2025-11-16,401772631,WSH,MIA,A,138.54,204.46,85.0,204.46,204.46,138.54,204.46,18.64,38.71,123.64,5.27,2.273,0.455,0.636,204.46,138.54,204.46,-0.727,0.455,0.636,2.273,0.0,0.0,0.0,0.0,28.0,28.0,17.909,92.57,63.96,7.091,55.56,22.87,22.87
2025-11-16,401772882,ATL,CAR,H,119.90,223.20,85.0,223.20,223.2,119.9,223.2,19.7,33.9,104.0,15.4,3.4,0.8,1.0,223.20,119.90,223.20,0.4,0.800,0.6,3.4,0.0,0.0,0.0,0.0,26.9,32.8,19.8,86.08,60.37,5.5,44.44,22.87,22.87
2025-11-16,401772882,CAR,ATL,A,127.09,205.00,85.0,205.00,205.0,127.09,205.0,20.0,36.96,84.09,26.64,1.455,0.636,0.364,205.00,127.09,205.00,-0.364,0.636,0.636,1.455,0.0,0.0,0.0,0.0,28.818,31.909,20.182,86.31,63.25,5.455,66.67,22.14,22.14
2025-11-16,401772776,BUF,TB,H,147.60,251.00,85.0,251.00,251.0,147.6,251.0,22.4,44.91,114.7,9.0,2.6,0.7,1.1,251.00,147.60,251.00,0.1,0.700,0.5,2.6,0.0,0.0,0.0,0.0,30.1,29.9,20.7,105.07,69.23,6.8,50.0,26.57,26.57
2025-11-16,401772776,TB,BUF,A,110.00,236.50,85.0,236.50,236.5,110.0,236.5,19.6,38.93,101.0,13.5,2.6,1.0,0.9,236.50,110.00,236.50,0.9,1.000,0.4,2.6,0.0,0.0,0.0,0.0,26.4,34.0,21.6,97.0,63.53,5.8,50.0,23.10,23.10
2025-11-16,401772881,TEN,HOU,H,78.90,195.40,85.0,195.40,195.4,78.9,195.4,15.1,29.77,115.7,21.9,2.6,0.7,0.2,195.40,78.90,195.40,-0.4,0.700,0.8,2.6,0.0,0.0,0.0,0.0,20.0,33.2,19.4,73.8,58.43,7.0,35.71,18.29,18.29
2025-11-16,401772881,HOU,TEN,A,107.60,242.80,85.0,242.80,242.8,107.6,242.8,19.3,36.03,68.6,24.8,2.5,1.0,0.8,242.80,107.60,242.80,0.7,1.000,0.3,2.5,0.0,0.0,0.0,0.0,25.9,36.2,23.3,89.65,64.36,7.2,62.5,23.36,23.36
2025-11-16,401772880,MIN,CHI,H,103.40,213.20,85.0,213.20,213.2,103.4,213.2,17.5,31.41,119.7,13.1,2.6,0.3,1.1,213.20,103.40,213.20,-0.9,0.300,0.5,2.6,0.0,0.0,0.0,0.0,22.2,31.8,19.0,76.4,59.75,7.7,57.14,21.11,21.11
2025-11-16,401772880,CHI,MIN,A,146.60,236.20,85.0,237.80,236.2,146.6,237.8,20.7,41.05,111.5,22.2,2.1,1.5,0.8,236.20,146.60,237.80,1.6,1.500,0.2,2.1,0.0,0.0,0.0,0.0,30.2,33.1,19.8,90.73,59.82,8.0,42.86,25.52,25.52
